time,vwap,ema9,ema21,ema50,ema200,atr,adx,rsi,volume,vix,regime,setup,signal,score
2025-06-04 04:25:00,0.0,24551.17,24554.98,24551.17,24554.98,9.63,20.0,56.44,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:26:00,0.0,24554.09,24555.96,24554.09,24555.96,9.52,20.0,57.75,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:27:00,0.0,24554.8,24556.11,24554.8,24556.11,9.44,20.0,54.85,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:28:00,0.0,24558.68,24557.76,24558.68,24557.76,9.94,20.0,60.42,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:29:00,0.0,24561.97,24559.34,24561.97,24559.34,9.6,20.0,62.69,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:30:00,0.0,24564.47,24560.71,24564.47,24560.71,9.0,20.0,58.88,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:31:00,0.0,24567.1,24562.25,24567.1,24562.25,8.98,20.0,62.75,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:32:00,0.0,24570.37,24564.18,24570.37,24564.18,8.81,20.0,71.76,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:33:00,0.0,24573.77,24566.28,24573.77,24566.28,8.53,20.0,75.51,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:34:00,0.0,24574.93,24567.49,24574.93,24567.49,8.81,20.0,69.05,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:35:00,0.0,24575.44,24568.4,24575.44,24568.4,8.13,20.0,77.48,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:36:00,0.0,24576.5,24569.52,24576.5,24569.52,7.67,20.0,74.59,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:37:00,0.0,24578.88,24571.24,24578.88,24571.24,8.05,20.0,76.79,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:38:00,0.0,24580.53,24572.68,24580.53,24572.68,7.67,20.0,72.57,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:39:00,0.0,24579.53,24572.94,24579.53,24572.94,7.82,20.0,57.22,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:40:00,0.0,24579.49,24573.52,24579.49,24573.52,7.87,20.0,58.84,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:41:00,0.0,24579.15,24573.91,24579.15,24573.91,7.59,20.0,64.38,0.0,15.0,Checklist,Checklist Setup,HOLD,3
